feature,mean,std,cv,low_discrimination,redundant_flag,recommended_drop
sugar,73.47903269696232,161.26855741520913,2.194756129688083,False,False,False
minutes,70.02905919252969,114.89793212531116,1.6407179169639314,False,False,False
carbohydrates,14.45949758675508,22.46168286108409,1.5534206998768076,False,True,True
saturated_fat,41.69362781604904,60.87915714477824,1.4601549525355566,False,False,False
total_fat,33.36053556850883,45.82531698646028,1.373638528444902,False,True,True
sodium,26.257758904658925,35.58432496532268,1.3551927677654523,False,False,False
calories,445.29005080704076,514.4817775135728,1.1553857459449843,False,True,True
protein,33.14889792761697,36.93442595249503,1.1141977037409823,False,False,False
n_steps,9.514128582272317,5.430419861801639,0.5707742768917528,False,False,False
n_ingredients,8.95024562107042,3.6004546028576794,0.4022743905912022,False,False,False
