idf_rank,term,idf,doc_freq,doc_freq%
1,salt vegetable_oil,7.10708017668622,1920,1.37
2,italian_dressing,7.10708017668622,358,0.26
3,miracle_whip,7.103869901055972,2303,1.65
4,red_food_coloring,7.100669898325301,614,0.44
5,baby_spinach_leaves,7.100669898325301,613,0.44
6,unbleached_flour,7.100669898325301,1328,0.95
7,self rising_flour,7.100669898325301,388,0.28
8,monterey_jack_pepper_cheese,7.097480102957201,1910,1.37
9,tomato_soup,7.097480102957201,996,0.71
10,shredded_coconut,7.094300450039821,1031,0.74
11,sugar all,7.094300450039821,10876,7.79
12,wheat_germ,7.091130875278542,10749,7.7
13,lasagna_noodles,7.091130875278542,937,0.67
14,iceberg_lettuce,7.087971314988174,1212,0.87
15,sour_cream mayonnaise,7.087971314988174,942,0.67
16,light_mayonnaise,7.087971314988174,457,0.33
17,unsweetened_chocolate,7.087971314988174,2087,1.49
18,carrots onion,7.084821706085277,1479,1.06
19,light_sour_cream,7.084821706085277,540,0.39
20,cranberries,7.08168198608061,935,0.67
21,whole_wheat_bread,7.08168198608061,377,0.27
22,fresh_sage,7.08168198608061,837,0.6
23,garlic_clove salt,7.078552093071682,615,0.44
24,tomatoes onion,7.078552093071682,1268,0.91
25,sweet_paprika,7.075431965735438,661,0.47
26,gruyere_cheese,7.075431965735438,373,0.27
27,olive_oil salt_and_pepper,7.075431965735438,599,0.43
28,dried_tomato,7.075431965735438,1052,0.75
29,sun dried_tomato,7.075431965735438,549,0.39
30,cooked_bacon,7.075431965735438,589,0.42
31,onion tomatoes,7.072321543321046,542,0.39
32,butter garlic,7.069220765642798,312,0.22
33,seasoning,7.069220765642798,4172,2.99
34,milk vanilla_extract,7.069220765642798,515,0.37
35,worcestershire_sauce salt,7.066129573073124,483,0.35
36,lemon_wedge,7.063047906535717,10945,7.84
37,water olive_oil,7.063047906535717,2621,1.88
38,cornstarch salt,7.059975707498746,413,0.3
39,unsweetened_cocoa,7.059975707498746,3970,2.84
40,macaroni,7.056912917968201,330,0.24
41,table_salt,7.056912917968201,8835,6.33
42,quick_oats,7.056912917968201,962,0.69
43,ground_cumin salt,7.056912917968201,560,0.4
44,orange_marmalade,7.056912917968201,3672,2.63
45,dry_onion_soup_mix,7.056912917968201,2362,1.69
46,horseradish,7.05385948048131,1420,1.02
47,cinnamon butter,7.05385948048131,1672,1.2
48,egg water,7.05385948048131,943,0.68
49,ground_cinnamon salt,7.050815338100082,1636,1.17
50,cannellini_beans,7.050815338100082,538,0.39
51,white_flour,7.050815338100082,342,0.24
52,grape_tomatoes,7.050815338100082,1906,1.36
53,sweet_potato,7.047780434404928,1528,1.09
54,mandarin_oranges,7.044754713488391,345,0.25
55,baking_powder sugar,7.044754713488391,367,0.26
56,butter powdered_sugar,7.041738119948966,1267,0.91
57,fennel_seed,7.041738119948966,593,0.42
58,orzo_pasta,7.041738119948966,839,0.6
59,garlic onion,7.035732095888753,910,0.65
60,butter water,7.035732095888753,348,0.25
