idf_rank,term,idf,doc_freq,doc_freq%
1,sauces,4.732847646508697,26992,19.33
2,freezer,4.731651116303125,26992,19.33
3,romantic,4.718582917258402,33412,23.93
4,dish pork,4.717108643071283,33412,23.93
5,cookies desserts,4.71416659917219,42105,30.15
6,lunch snacks,4.709477258808803,42105,30.15
7,desserts eggs,4.708892634413315,31678,22.68
8,vegetables oven,4.6987166489438295,5619,4.02
9,tomatoes,4.6889295817604175,4857,3.48
10,south,4.6869264332869065,3854,2.76
11,calorie healthy,4.6866405964977655,5155,3.69
12,berries,4.673297602231301,3595,2.57
13,dietary high,4.669076405587676,33365,23.89
14,food low,4.663755009470708,7529,5.39
15,carb inexpensive,4.662638314770633,17004,12.18
16,sandwiches,4.661522865686767,12038,8.62
17,pies,4.660130301751935,5571,3.99
18,american southern,4.659295693273943,8280,5.93
19,occasion healthy,4.65596420768294,6658,4.77
20,protein low,4.651815397970377,10567,7.57
21,dietary gifts,4.642474670716073,22828,16.35
22,gluten free,4.639471255489099,22828,16.35
23,gluten,4.639471255489099,3545,2.54
24,dish seafood,4.629704493099384,6825,4.89
25,food inexpensive,4.622173526898219,9463,6.78
26,quick,4.615230908892043,8692,6.22
27,quick breads,4.615230908892043,5302,3.8
28,healthy main,4.594426998618502,7529,5.39
29,american low,4.589746802868024,11904,8.52
30,something equipment,4.584830244898512,4295,3.08
31,less beverages,4.584056151194525,6355,4.55
32,easy low,4.5768600265916675,22905,16.4
33,something steps,4.560603636082389,3498,2.5
34,meat equipment,4.559093061777022,13359,9.57
35,mood to,4.541141943989588,26574,19.03
36,diabetic,4.5406478728332935,4405,3.15
37,no cook,4.5404009287648694,3583,2.57
38,something taste,4.538181172026556,10654,7.63
39,shellfish,4.534492492078703,5755,4.12
40,meat taste,4.526424974908895,4254,3.05
41,fat dietary,4.524478975754284,9754,6.98
42,dietary spicy,4.521809395234257,4530,3.24
43,no,4.5201142743537215,12750,9.13
44,snacks,4.49361158913158,5146,3.69
45,casseroles,4.491023047857979,6516,4.67
46,mexican,4.490318243412029,5824,4.17
47,seasonal low,4.487269818023988,23058,16.51
48,brunch taste,4.481433452676754,17336,12.41
49,nuts,4.480270256081718,5282,3.78
50,less low,4.478644050589175,4712,3.37
51,finger food,4.475630952933521,17516,12.54
52,finger,4.475630952933521,17516,12.54
53,carb healthy,4.456150561503166,7279,5.21
54,desserts easy,4.44172940125784,7279,5.21
55,gifts,4.441058485432606,25463,18.23
56,fish,4.435040413107043,4994,3.58
57,dietary seasonal,4.433707967873264,4768,3.41
58,less desserts,4.428616645309241,7529,5.39
59,cheese dietary,4.428175144198316,7529,5.39
60,lunch main,4.424430233995027,3403,2.44
61,italian,4.422672764298381,4582,3.28
62,pot slow,4.41676400435633,4582,3.28
63,crock pot,4.41676400435633,57167,40.94
64,crock,4.41676400435633,8206,5.88
65,slow,4.41676400435633,37376,26.76
66,slow cooker,4.41676400435633,19320,13.83
67,pot,4.415237785810863,4830,3.46
68,dietary comfort,4.41327892132553,25197,18.04
69,southern,4.402035559641357,4469,3.2
70,southern united,4.402035559641357,3421,2.45
71,served cold,4.388793161941724,5946,4.26
72,cold,4.388793161941724,4048,2.9
73,high protein,4.383924912301612,104243,74.65
74,cooker,4.37698117056723,4598,3.29
75,something pasta,4.36925267256904,3656,2.62
76,day,4.364064324311047,3560,2.55
77,american for,4.358490979303336,39270,28.12
78,winter,4.338518846116421,6995,5.01
79,cook dinner,4.3306803977828,4505,3.23
80,fall,4.324095519155316,4125,2.95
81,chicken breasts,4.300703789212699,23532,16.85
82,american main,4.298956724806375,23532,16.85
83,ground,4.295665018861939,43839,31.39
84,ground beef,4.295665018861939,7758,5.56
85,fruit easy,4.293926727743399,10293,7.37
86,weeknight cuisine,4.290074642856857,3393,2.43
87,easy dinner,4.281080227613154,8174,5.85
88,spicy,4.274623691701138,3703,2.65
89,christmas,4.274623691701138,17359,12.43
90,breasts,4.270845111728324,5860,4.2
91,picnic,4.252163455021388,77280,55.34
92,occasion low,4.249391066220413,17975,12.87
93,equipment small,4.233824411805696,5695,4.08
94,appliance,4.221363753965758,5248,3.76
95,small,4.221363753965758,8134,5.82
96,small appliance,4.221363753965758,3904,2.8
97,event kid,4.220646136425094,19204,13.75
98,american easy,4.212786145977717,19204,13.75
99,easy dietary,4.199353635773642,47728,34.18
100,carbs,4.1888750208581955,7465,5.35
101,low carbs,4.1888750208581955,6807,4.87
102,very low,4.1888750208581955,5502,3.94
103,very,4.1888750208581955,7279,5.21
104,healthy ingredients,4.180398194733462,15504,11.1
105,vegetables american,4.178677023912689,22268,15.95
106,chocolate,4.176958810431552,5575,3.99
107,dishes vegetables,4.170797572389025,5027,3.6
108,meat chicken,4.165182925567814,20898,14.96
109,desserts fruit,4.15623091915886,4114,2.95
110,potatoes vegetables,4.120554137903211,15280,10.94
111,mood sweet,4.099203298768215,4320,3.09
